Timestamp,ActiveRequests,EventLoopLag_ms,PoolSize
2026-02-05T18:26:39.195Z,8,20.16,0
2026-02-05T18:26:39.246Z,8,20.26,0
2026-02-05T18:26:39.296Z,8,20.19,0
2026-02-05T18:26:39.347Z,8,20.03,0
2026-02-05T18:26:39.398Z,8,20.56,0
2026-02-05T18:26:39.447Z,9,20.65,0
2026-02-05T18:26:39.612Z,11,20.50,0
2026-02-05T18:26:39.666Z,13,53.79,0
2026-02-05T18:26:39.873Z,10,186.45,0
2026-02-05T18:26:40.195Z,17,NaN,0
2026-02-05T18:26:40.570Z,17,NaN,0
2026-02-05T18:26:40.785Z,15,NaN,0
2026-02-05T18:26:40.980Z,20,NaN,0
2026-02-05T18:26:41.188Z,7,188.15,0
2026-02-05T18:26:41.238Z,7,20.34,0
2026-02-05T18:26:41.289Z,7,20.34,0
2026-02-05T18:26:41.340Z,7,20.60,0
2026-02-05T18:26:41.391Z,7,20.28,0
2026-02-05T18:26:41.442Z,6,20.41,0
2026-02-05T18:26:41.492Z,5,20.26,0
2026-02-05T18:26:41.542Z,4,20.19,0
2026-02-05T18:26:41.701Z,7,20.06,0
2026-02-05T18:26:41.751Z,8,20.13,0
2026-02-05T18:26:41.975Z,11,20.44,0
2026-02-05T18:26:42.025Z,10,20.67,0
2026-02-05T18:26:42.075Z,10,20.36,0
2026-02-05T18:26:42.125Z,10,20.26,0
2026-02-05T18:26:42.176Z,10,20.29,0
2026-02-05T18:26:42.293Z,10,NaN,0
2026-02-05T18:26:42.342Z,8,20.50,0
2026-02-05T18:26:42.393Z,8,20.50,0
2026-02-05T18:26:42.444Z,8,20.15,0
2026-02-05T18:26:42.494Z,8,20.16,0
2026-02-05T18:26:42.593Z,9,49.13,0
2026-02-05T18:26:42.644Z,10,20.32,0
2026-02-05T18:26:42.694Z,10,20.21,0
2026-02-05T18:26:42.796Z,11,NaN,0
2026-02-05T18:26:42.847Z,9,20.32,0
2026-02-05T18:26:42.898Z,9,20.66,0
2026-02-05T18:26:42.947Z,9,20.32,0
2026-02-05T18:26:42.998Z,11,20.37,0
2026-02-05T18:26:43.048Z,12,20.41,0
2026-02-05T18:26:43.099Z,12,20.37,0
2026-02-05T18:26:43.149Z,12,20.68,0
2026-02-05T18:26:43.199Z,12,19.93,0
2026-02-05T18:26:43.250Z,12,20.44,0
2026-02-05T18:26:43.300Z,14,20.44,0
2026-02-05T18:26:43.350Z,12,20.52,0
2026-02-05T18:26:43.400Z,13,20.29,0
2026-02-05T18:26:43.450Z,13,20.08,0
2026-02-05T18:26:43.502Z,14,20.18,0
2026-02-05T18:26:43.553Z,13,20.41,0
2026-02-05T18:26:43.604Z,11,20.54,0
2026-02-05T18:26:43.654Z,11,20.41,0
2026-02-05T18:26:43.706Z,11,20.36,0
2026-02-05T18:26:43.756Z,9,20.22,0
2026-02-05T18:26:43.806Z,12,20.47,0
2026-02-05T18:26:43.857Z,9,20.37,0
2026-02-05T18:26:43.907Z,9,20.36,0
2026-02-05T18:26:43.958Z,10,20.73,0
2026-02-05T18:26:44.097Z,11,NaN,0
2026-02-05T18:26:44.609Z,19,511.84,0
2026-02-05T18:26:45.184Z,16,NaN,0
2026-02-05T18:26:45.267Z,18,NaN,0
2026-02-05T18:26:45.316Z,7,21.08,0
2026-02-05T18:26:45.366Z,7,20.34,0
2026-02-05T18:26:45.416Z,6,20.28,0
2026-02-05T18:26:45.466Z,7,20.16,0
2026-02-05T18:26:45.516Z,7,20.47,0
2026-02-05T18:26:45.566Z,7,20.52,0
2026-02-05T18:26:45.695Z,9,20.35,0
2026-02-05T18:26:45.746Z,9,20.25,0
2026-02-05T18:26:45.795Z,9,20.23,0
2026-02-05T18:26:45.845Z,9,20.55,0
2026-02-05T18:26:45.896Z,9,20.36,0
2026-02-05T18:26:45.946Z,8,20.43,0
2026-02-05T18:26:45.996Z,8,20.39,0
2026-02-05T18:26:46.047Z,8,20.45,0
2026-02-05T18:26:46.097Z,8,20.36,0
2026-02-05T18:26:46.147Z,7,20.40,0
2026-02-05T18:26:46.205Z,15,20.19,0
2026-02-05T18:26:46.256Z,8,20.57,0
2026-02-05T18:26:46.307Z,9,20.87,0
2026-02-05T18:26:46.358Z,9,20.65,0
2026-02-05T18:26:46.408Z,10,20.21,0
2026-02-05T18:26:46.459Z,9,20.44,0
2026-02-05T18:26:46.510Z,10,20.09,0
2026-02-05T18:26:46.561Z,10,20.73,0
2026-02-05T18:26:46.611Z,10,20.32,0
2026-02-05T18:26:46.662Z,11,20.50,0
2026-02-05T18:26:46.796Z,13,20.41,0
2026-02-05T18:26:46.846Z,11,19.81,0
2026-02-05T18:26:46.897Z,11,20.21,0
2026-02-05T18:26:46.948Z,11,20.25,0
2026-02-05T18:26:46.999Z,11,20.26,0
2026-02-05T18:26:47.049Z,11,20.31,0
2026-02-05T18:26:47.100Z,11,20.36,0
2026-02-05T18:26:47.150Z,11,20.23,0
2026-02-05T18:26:47.200Z,12,20.29,0
